run,score,time_s,max_tile,moves_per_second
1,12,20.0,8,7.500
2,8,20.0,8,7.500
3,208,22.0,32,6.818
4,88,20.0,16,7.500
5,24,20.0,8,7.500
6,52,20.0,16,7.500
7,12,20.0,8,7.500
8,180,22.0,32,6.818
9,16,20.0,8,7.500
10,4,20.0,4,7.500
11,76,21.0,16,7.142
12,72,21.0,16,7.142
13,700,24.0,64,6.250
14,156,21.0,32,7.142
15,176,22.0,32,6.818
16,56,21.0,16,7.142
17,1344,25.0,128,6.000
18,44,21.0,16,7.142
19,72,20.0,16,7.500
20,396,23.0,64,6.521
21,216,22.0,32,6.818
22,252,21.0,32,7.142
23,232,22.0,32,6.818
24,20,20.0,8,7.500
25,492,24.0,64,6.250
26,12,20.0,8,7.500
27,72,20.0,16,7.500
28,56,21.0,16,7.142
29,412,23.0,64,6.521
30,176,21.0,32,7.142
31,36,20.0,16,7.500
32,20,20.0,8,7.500
33,192,21.0,32,7.142
34,56,21.0,16,7.142
35,52,20.0,16,7.500
36,180,22.0,32,6.818
37,120,21.0,32,7.142
38,44,21.0,16,7.142
39,56,21.0,16,7.142
40,148,21.0,32,7.142
41,88,21.0,16,7.142
42,372,23.0,64,6.521
43,20,20.0,8,7.500
44,56,20.0,16,7.500
45,72,21.0,16,7.142
46,176,22.0,32,6.818
47,144,21.0,32,7.142
48,68,21.0,16,7.142
49,80,21.0,16,7.142
50,168,21.0,32,7.142
